# EuRoC Launch (Up to date)
# 4087 data points written for 53 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (40,7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=10 seconds
10,0,0,39.269,0,39.419,0,0,0,0,0,3.4356,39.3,8,9.8007,85,0,0,0,1e5,18000,376.82,2.4789,NaN,328.06,NaN,0.013147,1586677,4983.7,4.6105e-4,0.53157,8.4257e-4,0.38522,0.026331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0010352
10.002,7.9408e-5,0.079626,39.596,0.07993,39.747,6.9473e-6,0,6.9473e-6,0,0.0069664,3.4642,39.3,8,9.8007,83.981,0,0,0,99998,17998,376.81,2.4789,NaN,328.05,NaN,0.013166,1588949,4951,7.9771e-4,0.53147,0.0014537,0.38512,0.026331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0012695
10.004,3.1785e-4,0.15882,39.272,0.15943,39.422,2.7809e-5,0,2.7809e-5,0,0.013895,3.4359,39.3,8,9.8007,82.97,0,0,0,99993,17993,376.79,2.4789,NaN,328.04,NaN,0.013189,1591705,4918.3,0.0012608,0.53134,0.0022896,0.38499,0.026331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.001393
10.006,7.1405e-4,0.23737,38.949,0.23828,39.098,6.2471e-5,0,6.2471e-5,0,0.020767,3.4076,39.3,8,9.8007,81.971,0,0,0,99989,17989,376.76,2.4789,NaN,328.03,NaN,0.013216,1594921,4885.6,0.0018643,0.5312,0.0033719,0.38484,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0014776
10.008,0.0012667,0.31527,38.625,0.31648,38.773,1.1082e-4,0,1.1082e-4,0,0.027583,3.3793,39.3,8,9.8007,80.985,0,0,0,99984,17984,376.74,2.4789,NaN,328.02,NaN,0.013246,1598584,4852.9,0.0026212,0.53103,0.0047192,0.38468,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0015616
10.01,0.0019745,0.39252,38.464,0.39402,38.611,1.7274e-4,0,1.7274e-4,0,0.034341,3.3652,39.3,8,9.8007,80.011,0,0,0,99980,17980,376.72,2.4789,NaN,328.01,NaN,0.01328,1602678,4836.5,0.0035427,0.53084,0.0063457,0.38449,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0016448
10.012,0.0028365,0.46946,38.466,0.47125,38.613,2.4816e-4,0,2.4816e-4,0,0.041072,3.3654,39.3,8,9.8007,79.047,0,0,0,99976,17976,376.69,2.4789,NaN,328,NaN,0.013317,1607211,4836.5,0.0046435,0.53064,0.0082707,0.38428,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0017274
10.014,0.0038523,0.54639,38.469,0.54848,38.616,3.3703e-4,0,3.3703e-4,0,0.047803,3.3656,39.3,8,9.8007,78.089,0,0,0,99971,17971,376.67,2.4789,NaN,327.99,NaN,0.013359,1612196,4836.5,0.0059402,0.53041,0.010515,0.38406,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0018102
10.016,0.005022,0.62333,38.471,0.62572,38.618,4.3937e-4,0,4.3937e-4,0,0.054535,3.3657,39.3,8,9.8007,77.137,0,0,0,99967,17967,376.65,2.4789,NaN,327.98,NaN,0.013404,1617630,4836.5,0.0074451,0.53017,0.01309,0.38381,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0018951
10.018,0.0063457,0.70028,38.473,0.70295,38.62,5.5517e-4,0,5.5517e-4,0,0.061266,3.3659,39.3,8,9.8007,76.191,0,0,0,99963,17963,376.63,2.4789,NaN,327.97,NaN,0.013452,1623508,4836.5,0.0091696,0.5299,0.016006,0.38355,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0019815
10.02,0.0078232,0.77723,38.475,0.7802,38.622,6.8444e-4,0,6.8444e-4,0,0.067999,3.3661,39.3,8,9.8007,75.252,0,0,0,99958,17958,376.6,2.4789,NaN,327.96,NaN,0.013505,1629825,4836.5,0.011124,0.52962,0.019268,0.38327,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.002067
10.022,0.0094546,0.85418,38.477,0.85744,38.624,8.2717e-4,0,8.2717e-4,0,0.074731,3.3663,39.3,8,9.8007,74.321,0,0,0,99954,17954,376.58,2.4789,NaN,327.95,NaN,0.013561,1636577,4836.5,0.013319,0.52932,0.022879,0.38297,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0021503
10.024,0.01124,0.93114,38.479,0.9347,38.626,9.8336e-4,0,9.8336e-4,0,0.081464,3.3665,39.3,8,9.8007,73.398,0,0,0,99949,17949,376.56,2.4788,NaN,327.94,NaN,0.01362,1643758,4836.5,0.015763,0.52901,0.026841,0.38265,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0022343
10.026,0.013179,1.0081,38.481,1.012,38.628,0.001153,0,0.001153,0,0.088197,3.3667,39.3,8,9.8007,72.482,0,0,0,99945,17945,376.53,2.4788,NaN,327.93,NaN,0.013683,1651362,4836.5,0.018464,0.52867,0.031151,0.38232,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0023179
10.028,0.015272,1.0851,38.483,1.0892,38.63,0.0013362,0,0.0013362,0,0.094931,3.3668,39.3,8,9.8007,71.576,0,0,0,99941,17941,376.51,2.4788,NaN,327.92,NaN,0.01375,1659385,4836.5,0.02143,0.52832,0.035807,0.38197,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0024079
10.03,0.017519,1.162,38.485,1.1665,38.632,0.0015327,0,0.0015327,0,0.10166,3.367,39.3,8,9.8007,70.678,0,0,0,99936,17936,376.49,2.4788,NaN,327.91,NaN,0.01382,1667819,4836.5,0.024669,0.52796,0.040803,0.3816,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0024925
10.032,0.01992,1.239,38.487,1.2437,38.634,0.0017428,0,0.0017428,0,0.1084,3.3672,39.3,8,9.8007,69.789,0,0,0,99932,17932,376.47,2.4788,NaN,327.9,NaN,0.013893,1676659,4836.5,0.028186,0.52758,0.046129,0.38122,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.002576
# Event LIFTOFF occurred at t=10.034 seconds
10.034,0.022475,1.316,38.489,1.321,38.636,0.0019663,0,0.0019663,0,0.11513,3.3674,39.3,8,9.8007,68.91,0,0,0,99928,17928,376.44,2.4788,NaN,327.89,NaN,0.013969,1685899,4836.5,0.031987,0.52718,0.051778,0.38083,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.002668
10.036,0.025184,1.393,38.491,1.3983,38.638,0.0022033,0,0.0022033,0,0.12187,3.3676,39.3,8,9.8007,68.041,0,0,0,99923,17923,376.42,2.4788,NaN,327.88,NaN,0.014049,1695531,4836.5,0.036077,0.52677,0.057737,0.38042,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.002753
10.038,0.028047,1.47,38.493,1.4756,38.641,0.0024538,0,0.0024538,0,0.1286,3.3677,39.3,8,9.8007,67.182,0,0,0,99919,17919,376.4,2.4788,NaN,327.87,NaN,0.014132,1705550,4836.5,0.04046,0.52635,0.063994,0.37999,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0028395
10.04,0.031064,1.5469,38.496,1.5529,38.643,0.0027178,0,0.0027178,0,0.13534,3.3679,39.3,8,9.8007,66.333,0,0,0,99915,17915,376.38,2.4788,NaN,327.86,NaN,0.014219,1715948,4836.5,0.045142,0.52592,0.070536,0.37956,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0029222
10.042,0.034235,1.6239,38.498,1.6301,38.645,0.0029952,0,0.0029952,0,0.14208,3.3681,39.3,8,9.8007,65.494,0,0,0,99910,17910,376.35,2.4788,NaN,327.85,NaN,0.014308,1726720,4836.5,0.050124,0.52547,0.077347,0.37911,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0030193
10.044,0.03756,1.7009,38.5,1.7074,38.647,0.0032861,0,0.0032861,0,0.14881,3.3683,39.3,8,9.8007,64.666,0,0,0,99906,17906,376.33,2.4788,NaN,327.84,NaN,0.0144,1737857,4836.5,0.055411,0.52501,0.084412,0.37865,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0031048
10.046,0.041039,1.7779,38.502,1.7847,38.649,0.0035904,0,0.0035904,0,0.15555,3.3685,39.3,8,9.8007,63.848,0,0,0,99902,17902,376.31,2.4788,NaN,327.83,NaN,0.014495,1749354,4836.5,0.061003,0.52454,0.091714,0.37819,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0032056
10.048,0.044672,1.8549,38.504,1.862,38.651,0.0039083,0,0.0039083,0,0.16229,3.3686,39.3,8,9.8007,63.041,0,0,0,99897,17897,376.28,2.4788,NaN,327.82,NaN,0.014593,1761203,4836.5,0.066905,0.52407,0.099237,0.37771,0.026332,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0033206
10.05,0.048459,1.932,38.506,1.9393,38.653,0.0042396,0,0.0042396,0,0.16902,3.3688,39.3,8,9.8007,62.245,0,0,0,99893,17893,376.26,2.4788,NaN,327.81,NaN,0.014695,1773397,4836.5,0.073116,0.52358,0.10696,0.37722,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0034113
10.052,0.0524,2.009,38.508,2.0166,38.655,0.0045844,0,0.0045844,0,0.17576,3.369,39.3,8,9.8007,61.455,0,0,0,99888,17888,376.24,2.4788,NaN,327.8,NaN,0.014795,1785566,4836.5,0.079645,0.52309,0.11493,0.37673,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0034982
10.054,0.056495,2.086,38.51,2.094,38.657,0.0049426,0,0.0049426,0,0.1825,3.3692,39.3,8,9.8007,60.676,0,0,0,99884,17884,376.22,2.4788,NaN,327.79,NaN,0.014899,1798070,4836.5,0.086487,0.5226,0.12308,0.37624,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.003581
10.056,0.060744,2.163,38.512,2.1713,38.659,0.0053144,0,0.0053144,0,0.18924,3.3694,39.3,8,9.8007,59.908,0,0,0,99880,17880,376.19,2.4788,NaN,327.78,NaN,0.015005,1810903,4836.5,0.093643,0.5221,0.13138,0.37574,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0036977
10.058,0.065147,2.24,38.514,2.2486,38.661,0.0056996,0,0.0056996,0,0.19598,3.3695,39.3,8,9.8007,59.15,0,0,0,99875,17875,376.17,2.4788,NaN,327.77,NaN,0.015114,1824058,4836.5,0.10111,0.52159,0.13982,0.37523,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0037829
10.06,0.069704,2.3171,38.516,2.3259,38.663,0.0060983,0,0.0060983,0,0.20272,3.3697,39.3,8,9.8007,58.404,0,0,0,99871,17871,376.15,2.4787,NaN,327.76,NaN,0.015226,1837528,4836.5,0.1089,0.52108,0.14838,0.37471,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0038658
10.062,0.074415,2.3941,38.518,2.4033,38.665,0.0065105,0,0.0065105,0,0.20946,3.3699,39.3,8,9.8007,57.668,0,0,0,99867,17867,376.13,2.4787,NaN,327.75,NaN,0.01534,1851306,4836.5,0.11699,0.52055,0.15705,0.37419,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.17,339.92,2e-3,0.0039517
10.064,0.07928,2.4712,38.52,2.4806,38.667,0.0069361,0,0.0069361,0,0.2162,3.3701,39.3,8,9.8007,56.944,0,0,0,99862,17862,376.1,2.4787,NaN,327.74,NaN,0.015457,1865385,4836.5,0.1254,0.52002,0.16581,0.37366,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.17,339.92,2e-3,0.0040389
10.066,0.0843,2.5482,38.522,2.5579,38.669,0.0073753,0,0.0073753,0,0.22294,3.3702,39.3,8,9.8007,56.23,0,0,0,99858,17858,376.08,2.4787,NaN,327.73,NaN,0.015576,1879758,4836.5,0.13412,0.51949,0.17464,0.37313,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.17,339.92,2e-3,0.0041253
10.068,0.089473,2.6252,38.524,2.6353,38.671,0.0078279,0,0.0078279,0,0.22968,3.3704,39.3,8,9.8007,55.528,0,0,0,99854,17854,376.06,2.4787,NaN,327.72,NaN,0.015697,1894420,4836.5,0.14316,0.51895,0.18353,0.37258,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.17,339.92,2e-3,0.0042112
10.07,0.094801,2.7023,38.526,2.7126,38.673,0.008294,0,0.008294,0,0.23642,3.3706,39.3,8,9.8007,54.836,0,0,0,99849,17849,376.03,2.4787,NaN,327.71,NaN,0.015821,1909363,4836.5,0.1525,0.5184,0.19245,0.37204,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0042969
10.072,0.10028,2.7794,38.528,2.79,38.675,0.0087736,0,0.0087736,0,0.24316,3.3708,39.3,8,9.8007,54.155,0,0,0,99845,17845,376.01,2.4787,NaN,327.7,NaN,0.015947,1924581,4836.5,0.16215,0.51786,0.20141,0.37149,0.026333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0043864
10.074,0.10592,2.8564,38.53,2.8673,38.677,0.0092666,0,0.0092666,0,0.2499,3.371,39.3,8,9.8007,53.484,0,0,0,99840,17840,375.99,2.4787,NaN,327.69,NaN,0.016076,1940067,4836.5,0.1721,0.5173,0.21037,0.37093,0.026334,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0044698
10.076,0.11171,2.9335,38.532,2.9447,38.679,0.0097732,0,0.0097732,0,0.25665,3.3711,39.3,8,9.8007,52.825,0,0,0,99836,17836,375.97,2.4787,NaN,327.68,NaN,0.016206,1955816,4836.5,0.18236,0.51674,0.21934,0.37038,0.026334,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.004552
10.078,0.11765,3.0105,38.534,3.022,38.681,0.010293,0,0.010293,0,0.26339,3.3713,39.3,8,9.8007,52.176,0,0,0,99832,17832,375.94,2.4787,NaN,327.67,NaN,0.016339,1971820,4836.5,0.19292,0.51618,0.22829,0.36982,0.026334,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.004636
10.08,0.12375,3.0876,38.536,3.0994,38.683,0.010827,0,0.010827,0,0.27013,3.3715,39.3,8,9.8007,51.537,0,0,0,99827,17827,375.92,2.4787,NaN,327.66,NaN,0.016473,1988075,4836.5,0.20378,0.51562,0.23721,0.36925,0.026334,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0047182
10.082,0.13,3.1647,38.538,3.1768,38.685,0.011374,0,0.011374,0,0.27687,3.3717,39.3,8,9.8007,50.909,0,0,0,99823,17823,375.9,2.4787,NaN,327.65,NaN,0.01661,2004573,4836.5,0.21494,0.51506,0.24609,0.36869,0.026334,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0047999
10.084,0.13641,3.2418,38.54,3.2542,38.687,0.011934,0,0.011934,0,0.28362,3.3718,39.3,8,9.8007,50.291,0,0,0,99819,17819,375.87,2.4787,NaN,327.64,NaN,0.016749,2021309,4836.5,0.22639,0.51449,0.25493,0.36812,0.026334,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.004882
10.086,0.14297,3.3189,38.542,3.3315,38.689,0.012508,0,0.012508,0,0.29036,3.372,39.3,8,9.8007,49.683,0,0,0,99814,17814,375.85,2.4787,NaN,327.63,NaN,0.01689,2038276,4836.5,0.23813,0.51392,0.26371,0.36755,0.026334,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0049647
10.088,0.14968,3.3959,38.544,3.4089,38.691,0.013096,0,0.013096,0,0.29711,3.3722,39.3,8,9.8007,49.086,0,0,0,99810,17810,375.83,2.4787,NaN,327.62,NaN,0.017032,2055471,4836.5,0.25016,0.51335,0.27242,0.36698,0.026334,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0050499
10.09,0.15655,3.473,38.546,3.4863,38.693,0.013697,0,0.013697,0,0.30385,3.3723,39.3,8,9.8007,48.498,0,0,0,99806,17806,375.81,2.4787,NaN,327.61,NaN,0.017176,2072886,4836.5,0.26248,0.51278,0.28105,0.3664,0.026334,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0051318
10.092,0.16358,3.5501,38.548,3.5637,38.695,0.014311,0,0.014311,0,0.3106,3.3725,39.3,8,9.8007,47.92,0,0,0,99801,17801,375.78,2.4787,NaN,327.6,NaN,0.017322,2090516,4836.5,0.27509,0.5122,0.2896,0.36583,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0052149
10.094,0.17075,3.6272,38.55,3.6411,38.697,0.014939,0,0.014939,0,0.31734,3.3727,39.3,8,9.8007,47.352,0,0,0,99797,17797,375.76,2.4787,NaN,327.59,NaN,0.01747,2108357,4836.5,0.28797,0.51163,0.29805,0.36526,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0052971
10.096,0.17809,3.7043,38.552,3.7185,38.699,0.01558,0,0.01558,0,0.32409,3.3729,39.3,8,9.8007,46.793,0,0,0,99793,17793,375.74,2.4786,NaN,327.58,NaN,0.01762,2126402,4836.5,0.30113,0.51106,0.30641,0.36468,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.16,339.92,2e-3,0.0053958
10.098,0.18557,3.7814,38.554,3.7959,38.701,0.016235,0,0.016235,0,0.33083,3.373,39.3,8,9.8007,46.244,0,0,0,99788,17788,375.71,2.4786,NaN,327.57,NaN,0.017771,2144647,4836.5,0.31457,0.51048,0.31466,0.36411,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.15,339.92,2e-3,0.0054825
10.1,0.19321,3.8585,38.556,3.8733,38.703,0.016904,0,0.016904,0,0.33758,3.3732,39.3,8,9.8007,45.704,0,0,0,99784,17784,375.69,2.4786,NaN,327.56,NaN,0.017924,2163086,4836.5,0.32828,0.50991,0.3228,0.36353,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.15,339.92,2e-3,0.0055667
10.102,0.20101,3.9357,38.558,3.9507,38.705,0.017586,0,0.017586,0,0.34433,3.3734,39.3,8,9.8007,45.193,0,0,0,99779,17779,375.67,2.4786,NaN,327.55,NaN,0.018086,2182610,4836.5,0.3422,0.50931,0.33049,0.36293,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.15,339.92,2e-3,0.0056503
10.104,0.20895,4.0128,38.56,4.0281,38.707,0.018281,0,0.018281,0,0.35107,3.3736,39.3,8,9.8007,44.691,0,0,0,99775,17775,375.65,2.4786,NaN,327.54,NaN,0.018249,2202306,4836.5,0.35638,0.50871,0.33806,0.36233,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.15,339.92,2e-3,0.005732
10.106,0.21706,4.0899,38.562,4.1055,38.709,0.01899,0,0.01899,0,0.35782,3.3737,39.3,8,9.8007,44.198,0,0,0,99771,17771,375.62,2.4786,NaN,327.53,NaN,0.018413,2222170,4836.5,0.37083,0.50811,0.3455,0.36173,0.026335,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.15,339.92,2e-3,0.0058142
10.108,0.22531,4.167,38.564,4.183,38.711,0.019712,0,0.019712,0,0.36457,3.3739,39.3,8,9.8007,43.714,0,0,0,99766,17766,375.6,2.4786,NaN,327.52,NaN,0.018579,2242195,4836.5,0.38554,0.50752,0.35282,0.36114,0.026336,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.219,999.15,339.92,2e-3,0.0058969
10.11,0.23372,4.2442,38.566,4.2604,38.713,0.020448,0,0.020448,0,0.37132,3.3741,39.3,8,9.8007,43.238,0,0,0,99762,17762,375.58,2.4786,NaN,327.51,NaN,0.018747,2262379,4836.5,0.4005,0.50692,0.36,0.36054,0.026336,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.15,339.92,2e-3,0.0059792
10.112,0.24229,4.3213,38.568,4.3378,38.715,0.021198,0,0.021198,0,0.37806,3.3743,39.3,8,9.8007,42.771,0,0,0,99758,17758,375.56,2.4786,NaN,327.5,NaN,0.018915,2282718,4836.5,0.41571,0.50633,0.36704,0.35995,0.026336,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.15,339.92,2e-3,0.0060608
10.114,0.25101,4.3984,38.57,4.4152,38.717,0.02196,0,0.02196,0,0.38481,3.3744,39.3,8,9.8007,42.312,0,0,0,99753,17753,375.53,2.4786,NaN,327.49,NaN,0.019085,2303206,4836.5,0.43117,0.50575,0.37396,0.35936,0.026336,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.15,339.92,2e-3,0.0061428
10.116,0.25988,4.4756,38.572,4.4927,38.719,0.022737,0,0.022737,0,0.39156,3.3746,39.3,8,9.8007,41.861,0,0,0,99749,17749,375.51,2.4786,NaN,327.48,NaN,0.019256,2323841,4836.5,0.44689,0.50516,0.38073,0.35878,0.026336,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.15,339.92,2e-3,0.0062246
10.118,0.26891,4.5527,38.574,4.5701,38.721,0.023527,0,0.023527,0,0.39831,3.3748,39.3,8,9.8007,41.417,0,0,0,99745,17745,375.49,2.4786,NaN,327.47,NaN,0.019428,2344618,4836.5,0.46284,0.50458,0.38737,0.35819,0.026336,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.14,339.92,2e-3,0.0063083
10.12,0.27809,4.6299,38.576,4.6476,38.723,0.02433,0,0.02433,0,0.40506,3.3749,39.3,8,9.8007,40.982,0,0,0,99740,17740,375.46,2.4786,NaN,327.46,NaN,0.019601,2365534,4836.5,0.47904,0.504,0.39387,0.35761,0.026337,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.14,339.92,2e-3,0.0063968
10.122,0.28743,4.707,38.578,4.725,38.725,0.025147,0,0.025147,0,0.41181,3.3751,39.3,8,9.8007,40.555,0,0,0,99736,17736,375.44,2.4786,NaN,327.45,NaN,0.019776,2386585,4836.5,0.49548,0.50342,0.40023,0.35703,0.026337,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.218,999.14,339.92,2e-3,0.0064792
