time,seconds_elapsed,z,y,x
1659026346029032400,0.067032470703125,-69.26250457763672,-34.40625,-28.61250114440918
1659026346039032600,0.077032470703125,-69.54375457763672,-33.26250076293945,-29.156251907348633
1659026346049032400,0.087032470703125,-69.60000610351562,-32.98125076293945,-28.218751907348633
1659026346059032600,0.097032470703125,-68.8125,-33.39375305175781,-28.33125114440918
1659026346069032400,0.107032470703125,-68.88750457763672,-33.45000076293945,-28.23750114440918
1659026346079032600,0.117032470703125,-69.11250305175781,-33.50625228881836,-28.368751525878906
1659026346089032400,0.127032470703125,-69.26250457763672,-33.60000228881836,-28.368751525878906
1659026346099032600,0.137032470703125,-69.13125610351562,-33.525001525878906,-28.33125114440918
1659026346109032400,0.147032470703125,-69.0562515258789,-33.22500228881836,-28.275001525878906
1659026346119032600,0.157032470703125,-68.92500305175781,-33.54375076293945,-28.162500381469727
1659026346129032400,0.167032470703125,-68.71875,-33.618751525878906,-28.350000381469727
1659026346139032600,0.177032470703125,-68.9625015258789,-33.50625228881836,-28.368751525878906
1659026346149032400,0.187032470703125,-68.9625015258789,-33.31875228881836,-28.406251907348633
1659026346159032600,0.197032470703125,-68.71875,-33.243751525878906,-28.275001525878906
1659026346169032400,0.207032470703125,-68.55000305175781,-33.01875305175781,-28.218751907348633
1659026346179032600,0.217032470703125,-68.55000305175781,-32.962501525878906,-28.181251525878906
1659026346189032400,0.227032470703125,-68.55000305175781,-33,-28.23750114440918
1659026346199032600,0.237032470703125,-68.56875610351562,-32.92500305175781,-28.218751907348633
1659026346209032400,0.247032470703125,-68.34375,-32.868751525878906,-28.087501525878906
1659026346219032600,0.257032470703125,-68.4937515258789,-32.85000228881836,-28.087501525878906
1659026346229032400,0.267032470703125,-68.45625305175781,-32.98125076293945,-28.068750381469727
1659026346239032600,0.277032470703125,-68.60625457763672,-33.01875305175781,-28.106250762939453
1659026346249032400,0.287032470703125,-68.75625610351562,-33.22500228881836,-28.293750762939453
1659026346259032600,0.297032470703125,-68.92500305175781,-33.375,-28.181251525878906
1659026346269032400,0.307032470703125,-68.8687515258789,-33.63750076293945,-28.068750381469727
1659026346279032600,0.317032470703125,-68.85000610351562,-33.54375076293945,-28.218751907348633
1659026346289032400,0.327032470703125,-69,-33.65625,-28.368751525878906
1659026346299032600,0.337032470703125,-68.92500305175781,-33.618751525878906,-28.387500762939453
1659026346309032400,0.347032470703125,-68.90625,-33.46875,-28.42500114440918
1659026346319032600,0.357032470703125,-68.6812515258789,-33.375,-28.443750381469727
1659026346329032400,0.367032470703125,-68.53125,-33.35625076293945,-28.200000762939453
1659026346339032600,0.377032470703125,-68.45625305175781,-33.35625076293945,-28.218751907348633
1659026346349032400,0.387032470703125,-68.8687515258789,-33.1875,-28.293750762939453
1659026346359032600,0.397032470703125,-68.90625,-33.16875076293945,-28.068750381469727
1659026346369032400,0.407032470703125,-69.09375,-33.243751525878906,-27.918750762939453
1659026346379032600,0.417032470703125,-69.1875,-33.28125,-27.76875114440918
1659026346389032400,0.427032470703125,-69.3375015258789,-33.375,-27.76875114440918
1659026346399032600,0.437032470703125,-69.39375305175781,-33.337501525878906,-27.76875114440918
1659026346409032400,0.447032470703125,-69.3375015258789,-33.35625076293945,-28.031251907348633
1659026346419032600,0.457032470703125,-69.30000305175781,-33.056251525878906,-28.012500762939453
1659026346429032400,0.467032470703125,-68.94375610351562,-33.1875,-28.012500762939453
1659026346439032600,0.477032470703125,-68.9625015258789,-33.16875076293945,-28.031251907348633
1659026346449032400,0.487032470703125,-68.94375610351562,-33.01875305175781,-28.33125114440918
1659026346459032600,0.497032470703125,-68.79375457763672,-33.01875305175781,-28.275001525878906
1659026346469032400,0.507032470703125,-68.71875,-33.16875076293945,-28.218751907348633
1659026346479032600,0.517032470703125,-68.79375457763672,-33.16875076293945,-28.068750381469727
1659026346489032400,0.527032470703125,-68.90625,-33.16875076293945,-27.975000381469727
