time,seconds_elapsed,z,y,x
1659026346029032400,0.067032470703125,-271.3500061035156,1119.97509765625,67.35000610351562
1659026346039032600,0.077032470703125,-271.6312561035156,1121.1375732421875,66.8062515258789
1659026346049032400,0.087032470703125,-271.6875,1121.4188232421875,67.7437515258789
1659026346059032600,0.097032470703125,-270.9000244140625,1120.987548828125,67.61250305175781
1659026346069032400,0.107032470703125,-270.9937744140625,1120.9500732421875,67.72500610351562
1659026346079032600,0.117032470703125,-271.20001220703125,1120.875,67.57500457763672
1659026346089032400,0.127032470703125,-271.3500061035156,1120.800048828125,67.59375
1659026346099032600,0.137032470703125,-271.21875,1120.875,67.63125610351562
1659026346109032400,0.147032470703125,-271.1437683105469,1121.175048828125,67.66875457763672
1659026346119032600,0.157032470703125,-271.03125,1120.8563232421875,67.80000305175781
1659026346129032400,0.167032470703125,-270.8062744140625,1120.7625732421875,67.59375
1659026346139032600,0.177032470703125,-271.0500183105469,1120.893798828125,67.57500457763672
1659026346149032400,0.187032470703125,-271.0500183105469,1121.0625,67.53750610351562
1659026346159032600,0.197032470703125,-270.82501220703125,1121.15625,67.6875
1659026346169032400,0.207032470703125,-270.63751220703125,1121.362548828125,67.7437515258789
1659026346179032600,0.217032470703125,-270.63751220703125,1121.4188232421875,67.78125
1659026346189032400,0.227032470703125,-270.63751220703125,1121.38134765625,67.72500610351562
1659026346199032600,0.237032470703125,-270.65625,1121.456298828125,67.7437515258789
1659026346209032400,0.247032470703125,-270.4312744140625,1121.53125,67.85625457763672
1659026346219032600,0.257032470703125,-270.6000061035156,1121.53125,67.85625457763672
1659026346229032400,0.267032470703125,-270.5625,1121.4188232421875,67.89375305175781
1659026346239032600,0.277032470703125,-270.6937561035156,1121.38134765625,67.8375015258789
1659026346249032400,0.287032470703125,-270.8625183105469,1121.175048828125,67.66875457763672
1659026346259032600,0.297032470703125,-271.01251220703125,1121.0250244140625,67.76250457763672
1659026346269032400,0.307032470703125,-270.9750061035156,1120.7437744140625,67.875
1659026346279032600,0.317032470703125,-270.9375,1120.8563232421875,67.7437515258789
1659026346289032400,0.327032470703125,-271.10626220703125,1120.7437744140625,67.57500457763672
1659026346299032600,0.337032470703125,-271.03125,1120.78125,67.57500457763672
1659026346309032400,0.347032470703125,-270.9937744140625,1120.91259765625,67.51875305175781
1659026346319032600,0.357032470703125,-270.7875061035156,1121.0250244140625,67.5
1659026346329032400,0.367032470703125,-270.6187744140625,1121.0438232421875,67.76250457763672
1659026346339032600,0.377032470703125,-270.54376220703125,1121.0438232421875,67.72500610351562
1659026346349032400,0.387032470703125,-270.9562683105469,1121.2125244140625,67.66875457763672
1659026346359032600,0.397032470703125,-270.9937744140625,1121.2313232421875,67.875
1659026346369032400,0.407032470703125,-271.20001220703125,1121.15625,68.04375457763672
1659026346379032600,0.417032470703125,-271.2750244140625,1121.1187744140625,68.17500305175781
1659026346389032400,0.427032470703125,-271.4437561035156,1121.0250244140625,68.19375610351562
1659026346399032600,0.437032470703125,-271.5,1121.0625,68.19375610351562
1659026346409032400,0.447032470703125,-271.4250183105469,1121.0438232421875,67.91250610351562
1659026346419032600,0.457032470703125,-271.38751220703125,1121.34375,67.95000457763672
1659026346429032400,0.467032470703125,-271.03125,1121.2125244140625,67.9312515258789
1659026346439032600,0.477032470703125,-271.0500183105469,1121.2313232421875,67.91250610351562
1659026346449032400,0.487032470703125,-271.0500183105469,1121.38134765625,67.61250305175781
1659026346459032600,0.497032470703125,-270.9000244140625,1121.38134765625,67.66875457763672
1659026346469032400,0.507032470703125,-270.82501220703125,1121.2313232421875,67.72500610351562
1659026346479032600,0.517032470703125,-270.9000244140625,1121.2313232421875,67.89375305175781
1659026346489032400,0.527032470703125,-270.9937744140625,1121.2313232421875,67.96875
1659026346499032600,0.537032470703125,-270.9937744140625,1121.0438232421875,67.7437515258789
1659026346509032400,0.547032470703125,-270.91876220703125,1121.15625,67.85625457763672
1659026346519032600,0.557032470703125,-270.91876220703125,1121.0625,67.80000305175781
1659026346529032400,0.567032470703125,-270.63751220703125,1120.987548828125,67.95000457763672
1659026346539032600,0.577032470703125,-270.5250244140625,1120.9312744140625,67.875
1659026346549032400,0.587032470703125,-270.4875183105469,1121.0625,67.80000305175781
