time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1659103341413348900,0.087348876953125,-0.3797331154346466,-0.002441749442368746,0.012456705793738365,0.92500901222229,0.004944720305502415,-0.024902131408452988,0.7791433334350586
1659103341423019800,0.097019775390625,-0.4431978464126587,-0.0031793040689080954,0.012217422015964985,0.8963349461555481,0.005131618119776249,-0.024722443893551826,0.9184680581092834
1659103341432690700,0.106690673828125,-0.4205443263053894,-0.0027978024445474148,0.012265109457075596,0.9071847796440125,0.005241407547146082,-0.024609126150608063,0.8682283163070679
1659103341442361600,0.116361572265625,-0.4072237014770508,-0.002649619011208415,0.012255351059138775,0.9132423996925354,0.005143422167748213,-0.024544652551412582,0.8389577269554138
1659103341452032500,0.126032470703125,-0.40545302629470825,-0.002686992520466447,0.01220938190817833,0.9140303730964661,0.004990194924175739,-0.02450084127485752,0.8350791931152344
1659103341461703400,0.135703369140625,-0.39738860726356506,-0.0024887716863304377,0.012160618789494038,0.9175664782524109,0.005099283065646887,-0.02429676055908203,0.8174673914909363
1659103341471374300,0.145374267578125,-0.37947046756744385,-0.002270705997943878,0.01212446577847004,0.9251216053962708,0.005001875571906567,-0.024158893153071404,0.7785705924034119
1659103341481045500,0.15504541015625,-0.37933802604675293,-0.0022415511775761843,0.012097855098545551,0.9251763820648193,0.005032173357903957,-0.024088241159915924,0.7782841920852661
1659103341490716400,0.16471630859375,-0.37950581312179565,-0.002200460759922862,0.012044291943311691,0.9251083135604858,0.005071904975920916,-0.023957015946507454,0.7786464691162109
1659103341500387300,0.17438720703125,-0.3809656500816345,-0.0021838219836354256,0.01201304979622364,0.9245085716247559,0.005116675049066544,-0.02387852594256401,0.7818034887313843
1659103341510058200,0.184058349609375,-0.3826046586036682,-0.0022423502523452044,0.01195445004850626,0.9238320589065552,0.005005985498428345,-0.023805923759937286,0.7853484749794006
1659103341519729200,0.193729248046875,-0.37848126888275146,-0.0021866573952138424,0.011914883740246296,0.9255296587944031,0.004972906317561865,-0.02371259592473507,0.7764288783073425
1659103341529400000,0.203400146484375,-0.3811025321483612,-0.002223051618784666,0.011966891586780548,0.9244526624679565,0.005012456327676773,-0.023822324350476265,0.7820978164672852
1659103341539071000,0.213071044921875,-0.38073641061782837,-0.0022325078025460243,0.011985499411821365,0.9246032238006592,0.004999709315598011,-0.023865921422839165,0.7813059687614441
1659103341548742000,0.222741943359375,-0.38282811641693115,-0.002270633587613702,0.012009736150503159,0.9237387180328369,0.005001838319003582,-0.023928524926304817,0.7858331799507141
1659103341558412800,0.232412841796875,-0.38088491559028625,-0.0022194120101630688,0.012024447321891785,0.9245415925979614,0.005057452712208033,-0.023927167057991028,0.7816284894943237
1659103341568084000,0.242083984375,-0.38657447695732117,-0.0022957734763622284,0.01200559176504612,0.9221771955490112,0.005049356259405613,-0.02391982264816761,0.7939518094062805
1659103341577755000,0.2517548828125,-0.3866102695465088,-0.0022905797231942415,0.012006968259811401,0.9221621751785278,0.005060931667685509,-0.02391814813017845,0.7940295934677124
1659103341587425800,0.26142578125,-0.3883965313434601,-0.0023186311591416597,0.011992898769676685,0.921411395072937,0.005044636316597462,-0.023904159665107727,0.797904908657074
1659103341597096700,0.2710966796875,-0.38525837659835815,-0.002264529699459672,0.011995631270110607,0.9227280020713806,0.005065211094915867,-0.023884538561105728,0.7910983562469482
1659103341606767600,0.280767578125,-0.38296806812286377,-0.0022185994312167168,0.011967596597969532,0.923681378364563,0.005069315433502197,-0.023810047656297684,0.7861362099647522
1659103341616438500,0.2904384765625,-0.3819564878940582,-0.002185428747907281,0.011947160586714745,0.9241005182266235,0.005088936071842909,-0.023752465844154358,0.78394615650177
1659103341626109700,0.300109619140625,-0.38196760416030884,-0.0021687450353056192,0.011941957287490368,0.9240959882736206,0.005116087384521961,-0.023730037733912468,0.7839704155921936
1659103341635780600,0.309780517578125,-0.3823648989200592,-0.002166250254958868,0.011953238397836685,0.9239315390586853,0.005139534827321768,-0.023746775463223457,0.7848307490348816
1659103341645451500,0.319451416015625,-0.39024287462234497,-0.002279273932799697,0.011923406273126602,0.9206319451332092,0.005110765807330608,-0.023735307157039642,0.801913857460022
1659103341655122400,0.329122314453125,-0.3897014558315277,-0.0022795822005718946,0.0119456322863698,0.9208609461784363,0.005113571882247925,-0.02377948723733425,0.8007381558418274
1659103341664793300,0.33879345703125,-0.3902164697647095,-0.002285189460963011,0.011951237916946411,0.9206427335739136,0.005120925139635801,-0.023791322484612465,0.801857054233551
1659103341674464300,0.34846435546875,-0.3878149688243866,-0.00227217935025692,0.011930235661566257,0.9216572642326355,0.005066557787358761,-0.02375578135251999,0.7966419458389282
1659103341684135400,0.358135498046875,-0.3882993161678314,-0.002303970977663994,0.011928106658160686,0.9214532375335693,0.005018787924200296,-0.023773884400725365,0.797692596912384
1659103341693806300,0.367806396484375,-0.3879241943359375,-0.0022985441610217094,0.011928782798349857,0.9216111898422241,0.00501963822171092,-0.023772960528731346,0.7968785166740417
1659103341703477200,0.377477294921875,-0.3875232934951782,-0.0023032675962895155,0.01194427814334631,0.9217796325683594,0.005012603476643562,-0.023807372897863388,0.7960087060928345
1659103341713148200,0.387148193359375,-0.3875500559806824,-0.002312194323167205,0.011949366889894009,0.921768307685852,0.005000780336558819,-0.023823531344532967,0.7960667610168457
1659103341722819000,0.396819091796875,-0.384955495595932,-0.002284047659486532,0.011957631446421146,0.9228548407554626,0.004992061294615269,-0.023831086233258247,0.790440559387207
1659103341732490000,0.406489990234375,-0.38399505615234375,-0.002263639122247696,0.01195831224322319,0.9232549071311951,0.0050054751336574554,-0.023821847513318062,0.7883596420288086
1659103341742161000,0.416160888671875,-0.3848488926887512,-0.002264015842229128,0.011955833993852139,0.9228993654251099,0.005024907179176807,-0.023812921717762947,0.7902097702026367
1659103341751832000,0.42583203125,-0.3847878575325012,-0.0022455870639532804,0.011948861181735992,0.9229249358177185,0.005051987245678902,-0.02378619648516178,0.7900776863098145
