time,seconds_elapsed,z,y,x
1659103341394006800,0.0680068359375,-0.00022907429956831038,-0.0009926552884280682,0.0006872228696011007
1659103341403677700,0.077677734375,-0.0011453714687377214,-0.0009926552884280682,0.00007635809743078426
1659103341413348900,0.087348876953125,-0.0011453714687377214,-0.0006872228696011007,0.00038179047987796366
1659103341423019800,0.097019775390625,-0.000839939049910754,-0.0009926552884280682,-0.00022907429956831038
1659103341432690700,0.106690673828125,-0.000839939049910754,-0.0016035200096666813,-0.0005345066892914474
1659103341442361600,0.116361572265625,-0.0011453714687377214,-0.0009926552884280682,0.00038179047987796366
1659103341452032500,0.126032470703125,-0.001450803829357028,-0.00038179047987796366,0.0009926552884280682
1659103341461703400,0.135703369140625,-0.0011453714687377214,-0.00038179047987796366,-0.00022907429956831038
1659103341471374300,0.145374267578125,-0.001450803829357028,-0.00007635809743078426,-0.0005345066892914474
1659103341481045500,0.15504541015625,-0.000839939049910754,-0.0012980876490473747,-0.00022907429956831038
1659103341490716400,0.16471630859375,-0.0005345066892914474,-0.0006872228696011007,0.00007635809743078426
1659103341500387300,0.17438720703125,-0.0005345066892914474,-0.00038179047987796366,-0.000839939049910754
1659103341510058200,0.184058349609375,0.00007635809743078426,-0.0006872228696011007,0.00038179047987796366
1659103341519729200,0.193729248046875,-0.000839939049910754,-0.00038179047987796366,0.00038179047987796366
1659103341529400000,0.203400146484375,-0.0005345066892914474,-0.0006872228696011007,0.0009926552884280682
1659103341539071000,0.213071044921875,-0.00022907429956831038,-0.0006872228696011007,-0.0005345066892914474
1659103341548742000,0.222741943359375,-0.0011453714687377214,-0.0012980876490473747,0.0006872228696011007
1659103341558412800,0.232412841796875,-0.0005345066892914474,-0.0006872228696011007,0.00038179047987796366
1659103341568084000,0.242083984375,-0.0011453714687377214,-0.0006872228696011007,0.0009926552884280682
1659103341577755000,0.2517548828125,-0.001450803829357028,-0.0016035200096666813,-0.00022907429956831038
1659103341587425800,0.26142578125,-0.0011453714687377214,-0.0009926552884280682,0.0006872228696011007
1659103341597096700,0.2710966796875,-0.001450803829357028,-0.0009926552884280682,0.00038179047987796366
1659103341606767600,0.280767578125,-0.000839939049910754,-0.00038179047987796366,-0.00022907429956831038
1659103341616438500,0.2904384765625,-0.000839939049910754,-0.0006872228696011007,-0.0005345066892914474
1659103341626109700,0.300109619140625,-0.0005345066892914474,-0.0006872228696011007,-0.00022907429956831038
1659103341635780600,0.309780517578125,-0.0005345066892914474,-0.00038179047987796366,0.00007635809743078426
1659103341645451500,0.319451416015625,-0.0011453714687377214,-0.00038179047987796366,-0.0005345066892914474
1659103341655122400,0.329122314453125,-0.000839939049910754,-0.0006872228696011007,0.00007635809743078426
1659103341664793300,0.33879345703125,-0.00022907429956831038,-0.0009926552884280682,0.0006872228696011007
1659103341674464300,0.34846435546875,-0.000839939049910754,-0.0009926552884280682,-0.00022907429956831038
1659103341684135400,0.358135498046875,-0.0005345066892914474,-0.0009926552884280682,-0.00022907429956831038
1659103341693806300,0.367806396484375,-0.00022907429956831038,-0.0006872228696011007,0.00007635809743078426
1659103341703477200,0.377477294921875,-0.00022907429956831038,-0.00038179047987796366,-0.00022907429956831038
